Layer,Color,Side,Group,SubGroup,ModelID,Level,RelatedTo,Upstream,Downstream
感知层信息模型,#f6bd16,left,载运装备感知,车辆状态感知,P-D-A1-1,a1,T-D-A1-21;C-D-A1-35,,T-D-A1-21;C-D-A1-35
感知层信息模型,#f6bd16,left,载运装备感知,车辆状态感知,P-D-A2-1,a2,R-D-A2-10;R-D-A2-11;R-D-A2-13;R-D-A2-15;T-D-A2-17;T-D-A2-19;D-D-A2-23;C-D-A2-35;C-D-A2-36,,R-D-A2-10;R-D-A2-11;R-D-A2-13;R-D-A2-15;T-D-A2-17;T-D-A2-19;D-D-A2-23;C-D-A2-35;C-D-A2-36
感知层信息模型,#f6bd16,left,载运装备感知,车辆状态感知,P-D-A3-1,a3,R-D-A3-9;R-D-A3-10;R-D-A3-11;R-D-A3-13;R-E-A3-15;T-D-A3-17;T-D-A3-18;T-D-A3-19;D-D-A3-23;D-D-A3-24;D-D-A3-25;C-D-A3-33;C-D-A3-35;C-D-A3-36;C-D-A3-37;D-D-A3-38;D-D-A3-39;D-C-A3-40;D-E-A3-45;D-C-A3-67;R-C-A3-71;D-C-A3-73;D-C-A3-74;D-D-A3-75;D-D-A3-76;C-D-A3-77;D-D-A3-78;C-D-A3-63;C-D-A3-64,,R-D-A3-9;R-D-A3-10;R-D-A3-11;R-D-A3-13;R-E-A3-15;T-D-A3-17;T-D-A3-18;T-D-A3-19;D-D-A3-23;D-D-A3-24;D-D-A3-25;C-D-A3-33;C-D-A3-35;C-D-A3-36;C-D-A3-37;D-D-A3-38;D-D-A3-39;D-C-A3-40;D-E-A3-45;D-C-A3-67;R-C-A3-71;D-C-A3-73;D-C-A3-74;D-D-A3-75;D-D-A3-76;C-D-A3-77;D-D-A3-78;C-D-A3-63;C-D-A3-64
感知层信息模型,#f6bd16,left,载运装备感知,车辆状态感知,P-D-A4-1,a4,R-D-A4-9;R-D-A4-10;R-E-A4-15;T-D-A4-17;T-D-A4-18;T-D-A4-19;D-D-A4-24;D-D-A4-25;C-D-A4-33;C-D-A4-36;C-D-A4-37;D-D-A4-38;D-D-A4-39;D-C-A4-40;D-E-A4-45;D-C-A4-67;R-C-A4-71;D-C-A4-73;D-C-A4-74;D-D-A4-75;D-D-A4-76;C-D-A4-77;D-D-A4-78;C-D-A4-63;C-D-A4-64,,R-D-A4-9;R-D-A4-10;R-E-A4-15;T-D-A4-17;T-D-A4-18;T-D-A4-19;D-D-A4-24;D-D-A4-25;C-D-A4-33;C-D-A4-36;C-D-A4-37;D-D-A4-38;D-D-A4-39;D-C-A4-40;D-E-A4-45;D-C-A4-67;R-C-A4-71;D-C-A4-73;D-C-A4-74;D-D-A4-75;D-D-A4-76;C-D-A4-77;D-D-A4-78;C-D-A4-63;C-D-A4-64
感知层信息模型,#f6bd16,left,载运装备感知,车辆路况感知,P-D-A2-2,a2,R-D-A2-10;R-D-A2-13;D-D-A2-27;D-D-A2-41,,R-D-A2-10;R-D-A2-13;D-D-A2-27;D-D-A2-41
感知层信息模型,#f6bd16,left,载运装备感知,车辆路况感知,P-D-A3-2,a3,R-D-A3-9;R-D-A3-10;R-D-A3-13;R-E-A3-15;R-C-A3-16;D-D-A3-27;D-D-A3-38;D-D-A3-39;D-D-A3-41;D-D-A3-75;C-D-A3-63;C-D-A3-64,,R-D-A3-9;R-D-A3-10;R-D-A3-13;R-E-A3-15;R-C-A3-16;D-D-A3-27;D-D-A3-38;D-D-A3-39;D-D-A3-41;D-D-A3-75;C-D-A3-63;C-D-A3-64
感知层信息模型,#f6bd16,left,载运装备感知,车辆路况感知,P-D-A4-2,a4,R-D-A4-9;R-D-A4-10;R-E-A4-15;R-C-A4-16;D-D-A4-27;D-D-A4-38;D-D-A4-39;D-D-A4-75;C-D-A4-63;C-D-A4-64,,R-D-A4-9;R-D-A4-10;R-E-A4-15;R-C-A4-16;D-D-A4-27;D-D-A4-38;D-D-A4-39;D-D-A4-75;C-D-A4-63;C-D-A4-64
感知层信息模型,#f6bd16,left,载运装备感知,驾驶员状态监测,P-D-A1-12,a1,C-D-A1-35,,C-D-A1-35
感知层信息模型,#f6bd16,left,路侧设备感知,交通信号感知,P-E-A1-3,a1,C-D-A1-35,,C-D-A1-35
感知层信息模型,#f6bd16,left,路侧设备感知,交通信号感知,P-E-A2-3,a2,R-D-A2-10;D-D-A2-27,,R-D-A2-10;D-D-A2-27
