Layer,Color,Side,Group,SubGroup,ModelID,Level,RelatedTo
感知层信息模型,#f6bd16,left,载运装备感知,车辆状态感知,P-D-A1-1,a1,
感知层信息模型,#f6bd16,left,载运装备感知,车辆状态感知,P-D-A2-1,a2,
感知层信息模型,#f6bd16,left,载运装备感知,车辆状态感知,P-D-A3-1,a3,
感知层信息模型,#f6bd16,left,载运装备感知,车辆状态感知,P-D-A4-1,a4,T-D-A4-12
感知层信息模型,#f6bd16,left,载运装备感知,车辆路况感知,P-D-A2-2,a2,
感知层信息模型,#f6bd16,left,载运装备感知,车辆路况感知,P-D-A3-2,a3,
感知层信息模型,#f6bd16,left,载运装备感知,车辆路况感知,P-D-A4-2,a4,
感知层信息模型,#f6bd16,left,路侧设备感知,交通信号感知,P-E-A1-3,a1,
感知层信息模型,#f6bd16,left,路侧设备感知,交通信号感知,P-E-A2-3,a2,
感知层信息模型,#f6bd16,left,路侧设备感知,交通信号感知,P-E-A3-3,a3,
感知层信息模型,#f6bd16,left,路侧设备感知,交通信号感知,P-E-A4-3,a4,
感知层信息模型,#f6bd16,left,路侧设备感知,交通流感知,P-E-A2-4,a2,
感知层信息模型,#f6bd16,left,路侧设备感知,交通流感知,P-E-A3-4,a3,
感知层信息模型,#f6bd16,left,路侧设备感知,交通流感知,P-E-A4-4,a4,
感知层信息模型,#f6bd16,left,路侧设备感知,交通参与者感知,P-E-A3-5,a3,
感知层信息模型,#f6bd16,left,路侧设备感知,交通参与者感知,P-E-A4-5,a4,
感知层信息模型,#f6bd16,left,路侧设备感知,交通事件感知,P-E-A3-6,a3,
感知层信息模型,#f6bd16,left,路侧设备感知,交通事件感知,P-E-A4-6,a4,
感知层信息模型,#f6bd16,left,路侧设备感知,气象条件感知,P-E-A1-7,a1,
感知层信息模型,#f6bd16,left,路侧设备感知,气象条件感知,P-E-A2-7,a2,
感知层信息模型,#f6bd16,left,路侧设备感知,气象条件感知,P-E-A3-7,a3,D-C-A3-17
感知层信息模型,#f6bd16,left,路侧设备感知,气象条件感知,P-E-A4-7,a4,
感知层信息模型,#f6bd16,left,路侧设备感知,泊位占用感知,P-E-A3-8,a3,D-C-A3-31
感知层信息模型,#f6bd16,left,路侧设备感知,泊位占用感知,P-E-A4-8,a4,
